Name,Time,Career
XI Jinping,1969 - 1975,"Cultural Revolution, Sent to do manual labor, Shaanxi Province, Yanchuan County"
XI Jinping,1974,"Joined, CPC"
XI Jinping,1975 - 1979,"Student, Tsinghua University, Chemical Engineering Department, Beijing Municipality"
XI Jinping,1979 - 1982,"Secretary, General Office of the State Council"
XI Jinping,1979 - 1982,"Secretary, Central Military Commission of the PRC, General Office"
XI Jinping,1982,(Served as Secretary to Geng Biao)
XI Jinping,1982 - 1983,"Deputy Secretary, CPC, County Committee, Hebei Province, Zhengding County"
XI Jinping,1983 - 1985,"Secretary, CPC, County Committee, Hebei Province, Zhengding County"
XI Jinping,1983 - 1985,"1st Political Commissar, Chinese People's Armed Police Force, Hebei Province, Zhengding County"
XI Jinping,1985 - 1988,"Executive Vice-Mayor, People's Government, Fujian Province, Xiamen City"
XI Jinping,1985 - 1988,"Member, CPC, City Committee, Standing Committee, Fujian Province, Xiamen City"
XI Jinping,1988 - 1990,"Secretary, CPC, Prefectural Committee, Fujian Province, Ningde Prefecture"
XI Jinping,1988 - 1990,"First Secretary, PLA, Regions, Nanjing Military Region, Fujian Military District, Fujian Province (Ningde Military Sub-Area Command)"
XI Jinping,1990 - 1995,"Chairman, City People's Congress, Fujian Province, Fuzhou City"
XI Jinping,1990 - 1996,"Secretary, CPC, City Committee   Fujian Province, Fuzhou City"
XI Jinping,1990 - 1996,"First Secretary, PLA, Regions, Nanjing Military Region, Fujian Military District CPC, Party Committee  Fujian Province"
XI Jinping,1992 - 1997,"Delegate, 14th CPC, National Congress"
XI Jinping,1993,(Won national award for contributions and work for the elderly)
XI Jinping,1995 - 1002,"Deputy Secretary, CPC, Provincial Committee, Fujian Province"
XI Jinping,1996 - 2000,"1st Political Commissioner, PLA, Services and Arms, Reserve Artillery Division, Fujian Province"
XI Jinping,1997 - 2002,"Alternate Member, 15th CPC, Central Committee"
XI Jinping,1998 - 2002,"Student, Tsinghua University, Humanities Department, Beijing Municipality"
XI Jinping,1998 - 2003,"Deputy, 9th NPC"
XI Jinping,1999 - 2000,"Acting Governor, People's Government, Fujian Province"
