Date,numVisit,From,To,Description,,,,
2018-01-09,1,France,China,Xi Jinping was in Beijing Municipality and met with the following: • Emmanuel Macron (French President),,,,
2018-01-10,1,Latvia,China,Xi Jinping was in Beijing Municipality and met with the following: • Inara Murniece (Latvia Speaker of Parliament),,,,
2018-01-10,1,Finland,China,Xi Jinping was in Beijing Municipality and met with the following: • Maria Lohela (Finland Speaker of Parliament),,,,
2018-01-10,1,Norway,China,Xi Jinping was in Beijing Municipality and met with the following: • Olemic Thommessen (Norway Speaker of Parliament),,,,
2018-01-10,1,Iceland,China,Xi Jinping was in Beijing Municipality and met with the following: • Steingrimur J. Sigfusson (Iceland Speaker of Parliament),,,,
2018-01-10,1,Estonia,China,Xi Jinping was in Beijing Municipality and met with the following: • Eiki Nestor (Estonia Speaker of Parliament),,,,
2018-01-12,1,British,China,Xi Jinping was in Beijing Municipality and met with the following: • David Cameron (Former British Prime Minister),,,,
2018-02-01,1,British,China,Xi Jinping was in Beijing Municipality and met with the following: • Theresa May (British Prime Minister),,,,
2018-02-07,1,Netherlands,China,Xi Jinping was in Beijing Municipality and met with the following: • Willem-Alexander (King of the Netherlands),,,,
2018-03-01,1,Tonga,China,Xi Jinping was in Beijing Municipality and met with the following: • Tupou VI (King of Tonga) • Nanasipau'u (Queen of Tonga),,,,
2018-03-12,1,South Korea,China,Xi Jinping was in Beijing Municipality and met with the following: • Chung Eui-yong (National Security Advisor for the President of the Republic of Korea (ROK)),,,,
2018-03-23,1,Cameroon,China,Xi Jinping was in Beijing Municipality and met with the following: • Paul Biya (President of Cameroon),,,,
2018-03-28,1,North Korea,China,Xi Jinping was in Beijing Municipality and met with the following: • Kim Jong Un (Chairman of the Workers' Party of Korea (WPK) of Korea (DPRK)),,,,
2018-04-03,1,Zimbabwe,China,Xi Jinping was in Beijing Municipality and met with the following: • Emmerson Mnangagwa (Zimbabwean President),,,,
2018-04-08,1,United States,China,Xi Jinping was in Beijing Municipality  and met with the following: • Antonio Guterres (U.N. Secretary-General),,,,
2018-04-08,1,Austria,China,Xi Jinping was in Beijing Municipality and met with the following: • Alexander Van der Bellen (Austrian President),,,,
2018-04-10,1,Netherlands,China,"Xi Jinping travelled to Hainan Province, Boao and met with the following: • Mark Rutte (Prime Minister of the Netherlands)",,,,
2018-04-23,1,Russia,China,Xi Jinping was in Beijing Municipality and met with the following: • Sergey Lavrov (Foreign Minister of Russia),,,,
2018-04-23,1,India,China,Xi Jinping was in Beijing Municipality and met with the following: • Sushma Swaraj (Indian External Affairs Minister),,,,
2018-04-23,1,Kazakhstan,China,Xi Jinping was in Beijing Municipality and met with the following: • Kairat Abdrakhmanov (Kazakh Foreign Minister),,,,
2018-04-23,1,Kyrgyzstan,China,Xi Jinping was in Beijing Municipality and met with the following: • Erlan Abdyldaev (Kyrgyz Foreign Minister),,,,
