Borough,ZIP,Descriptor,Month,lat,long,Year,ToD,AP
Unspecified,NA,Tortured,09,NA,NA,2018,09,AM
MANHATTAN,10034,Tortured,12,40.86225027373548,-73.92291561661044,2018,09,PM
BROOKLYN,11205,Tortured,12,40.69906584505964,-73.95634811470144,2018,09,AM
MANHATTAN,10011,Tortured,12,40.74436805903719,-74.00393365058683,2018,12,AM
BRONX,10460,Tortured,12,40.83908631925649,-73.8647499164118,2018,04,PM
BRONX,10454,Tortured,12,40.802394089901696,-73.91581872262687,2018,12,PM
MANHATTAN,10037,Tortured,12,40.81021106498936,-73.93736778909592,2018,02,PM
STATEN ISLAND,10310,Tortured,12,40.64297689956777,-74.11184142661355,2018,02,PM
STATEN ISLAND,10310,Tortured,12,40.63027428286455,-74.12741257048373,2018,08,PM
STATEN ISLAND,10310,Tortured,12,40.63027428286455,-74.12741257048373,2018,07,PM
MANHATTAN,10002,Tortured,12,40.71761325217918,-73.97994282763817,2018,12,PM
QUEENS,11385,Tortured,12,40.70240083458614,-73.89048971892058,2018,04,PM
BROOKLYN,11208,Tortured,12,40.681767689595176,-73.87883827682239,2018,06,AM
BRONX,10459,Tortured,12,40.821327646146486,-73.89025065203734,2018,02,PM
BRONX,10465,Tortured,12,40.82000631769778,-73.81781658121255,2018,08,PM
MANHATTAN,10032,Tortured,12,40.834962195474795,-73.9411895384596,2018,01,PM
BROOKLYN,11217,Tortured,12,40.681591180213395,-73.98139223914563,2018,08,PM
BRONX,10472,Tortured,12,40.82954871093739,-73.8825367726955,2018,10,AM
BROOKLYN,11234,Tortured,12,40.63634005646527,-73.92136426200209,2018,01,PM
BRONX,10460,Tortured,12,40.839679679830404,-73.88829410026592,2018,01,PM
BROOKLYN,11232,Tortured,12,40.661679335143994,-74.00002162628128,2018,02,PM
MANHATTAN,10035,Tortured,12,40.79954525387798,-73.93283412204984,2018,05,PM
MANHATTAN,10038,Tortured,12,40.70954259187049,-73.9961621857265,2018,07,PM
BRONX,10456,Tortured,12,40.83108381287672,-73.90418651311589,2018,02,PM
MANHATTAN,10002,Tortured,12,40.70960001383794,-73.99194202586268,2018,05,PM
BROOKLYN,11234,Tortured,12,40.63634005646527,-73.92136426200209,2018,07,PM
BRONX,10462,Tortured,12,40.84203310990234,-73.85706745697696,2018,04,PM
STATEN ISLAND,10306,Tortured,12,40.586490806746355,-74.10101065933401,2018,04,PM
BRONX,10462,Tortured,12,40.84203310990234,-73.85706745697696,2018,04,PM
QUEENS,11379,Tortured,12,40.709274643671996,-73.87776390293371,2018,01,PM
MANHATTAN,10029,Tortured,12,40.79559650438022,-73.93442361247425,2018,01,PM
MANHATTAN,10030,Tortured,12,40.817933430782674,-73.94012434683754,2018,07,PM
BRONX,10456,Tortured,12,40.83108381287672,-73.90418651311589,2018,01,PM
BROOKLYN,11234,Tortured,12,40.62719284558747,-73.9190982472782,2018,08,PM
