Hawker Centre,Stall No,Approx. Stall Area (sqm),Trade,Tendered Bid (per month),Month of Tender
AMOY STREET FOOD CENTRE,01-36,5.65,COOKED FOOD,4008,Nov-2022
AMOY STREET FOOD CENTRE,01-36,5.65,COOKED FOOD,4500,Sep-2023
AMOY STREET FOOD CENTRE,01-36,5.65,COOKED FOOD,5388,Jul-2024
AMOY STREET FOOD CENTRE,01-53,5.65,COOKED FOOD,4200,Dec-2020
AMOY STREET FOOD CENTRE,01-53,5.65,COOKED FOOD,2081,Sep-2021
AMOY STREET FOOD CENTRE,01-54,5.7,COOKED FOOD,4018,Nov-2020
AMOY STREET FOOD CENTRE,01-58,5.65,COOKED FOOD,2388,May-2023
AMOY STREET FOOD CENTRE,02-58,5.65,COOKED FOOD,5880,Jan-2023
AMOY STREET FOOD CENTRE,02-59,5.65,COOKED FOOD,3699,Jan-2023
AMOY STREET FOOD CENTRE,01-60,5.65,COOKED FOOD,3501,May-2018
AMOY STREET FOOD CENTRE,01-60,5.65,DRINKS,3889,Feb-2019
AMOY STREET FOOD CENTRE,01-68,5.65,INDIAN CUISINE,2811,Jun-2018
AMOY STREET FOOD CENTRE,01-68,5.65,HALAL COOKED FOOD,1800,Nov-2020
AMOY STREET FOOD CENTRE,01-68,5.65,HALAL COOKED FOOD,2188,Feb-2022
AMOY STREET FOOD CENTRE,01-68,5.65,HALAL COOKED FOOD,2026,May-2023
AMOY STREET FOOD CENTRE,01-69,5.7,INDIAN CUISINE,2259,Jan-2021
AMOY STREET FOOD CENTRE,01-69,5.7,INDIAN CUISINE,1819,Feb-2023
AMOY STREET FOOD CENTRE,01-70,5.7,HALAL COOKED FOOD,1818,Feb-2023
AMOY STREET FOOD CENTRE,01-70,5.7,HALAL COOKED FOOD,2008,Jan-2024
AMOY STREET FOOD CENTRE,02-70,5.7,INDIAN CUISINE,1150,Jul-2021
AMOY STREET FOOD CENTRE,01-71,5.65,HALAL COOKED FOOD,2002,Mar-2018
AMOY STREET FOOD CENTRE,01-71,5.65,HALAL COOKED FOOD,2507,May-2024
AMOY STREET FOOD CENTRE,01-72,5.65,HALAL COOKED FOOD,1799,Dec-2020
AMOY STREET FOOD CENTRE,01-72,5.65,HALAL COOKED FOOD,3127,Nov-2022
AMOY STREET FOOD CENTRE,01-72,5.65,HALAL COOKED FOOD,2088,Oct-2024
AMOY STREET FOOD CENTRE,01-73,5.65,INDIAN CUISINE,2805,Jan-2020
AMOY STREET FOOD CENTRE,01-73,5.65,HALAL COOKED FOOD,3020,Aug-2020
AMOY STREET FOOD CENTRE,02-79,5.65,COOKED FOOD,2799.9,Feb-2018
AMOY STREET FOOD CENTRE,02-82,5.65,COOKED FOOD,2189,Dec-2022
AMOY STREET FOOD CENTRE,02-84,5.7,INDIAN CUISINE,1555,Dec-2020
AMOY STREET FOOD CENTRE,02-86,5.65,HALAL COOKED FOOD,1851,Aug-2018
AMOY STREET FOOD CENTRE,01-87,5.65,HALAL COOKED FOOD,1855,Mar-2019
AMOY STREET FOOD CENTRE,01-87,5.65,HALAL COOKED FOOD,303,Jan-2023
AMOY STREET FOOD CENTRE,02-87,5.65,HALAL COOKED FOOD,2000,Sep-2018
AMOY STREET FOOD CENTRE,02-87,5.65,HALAL COOKED FOOD,1051,Aug-2021
AMOY STREET FOOD CENTRE,01-88,5.65,HALAL COOKED FOOD,2088,Dec-2020
AMOY STREET FOOD CENTRE,01-88,5.65,HALAL COOKED FOOD,188,Jan-2023
AMOY STREET FOOD CENTRE,02-88,5.65,HALAL COOKED FOOD,1500,Jul-2018
AMOY STREET FOOD CENTRE,02-88,5.65,HALAL COOKED FOOD,1509,Apr-2019
AMOY STREET FOOD CENTRE,02-88,5.65,COOKED FOOD,2010,Oct-2019
AMOY STREET FOOD CENTRE,02-88,5.65,INDIAN CUISINE,2208,Feb-2024
AMOY STREET FOOD CENTRE,02-88,5.65,HALAL COOKED FOOD,2088,Jun-2024
AMOY STREET FOOD CENTRE,02-92,5.65,INDIAN CUISINE,2022,Feb-2022
AMOY STREET FOOD CENTRE,02-92,5.65,COOKED FOOD,4638,Feb-2024
AMOY STREET FOOD CENTRE,02-98,5.65,COOKED FOOD,3788,Mar-2023
AMOY STREET FOOD CENTRE,01-99,5.65,COOKED FOOD,2810,Mar-2020
AMOY STREET FOOD CENTRE,02-99,5.65,COOKED FOOD,2899,Nov-2020
AMOY STREET FOOD CENTRE,01-15,5.65,COOKED FOOD,4000,Sep-2018
AMOY STREET FOOD CENTRE,01-15,5.65,COOKED FOOD,4000,Jul-2019
AMOY STREET FOOD CENTRE,01-15,5.65,INDIAN CUISINE,1819,Mar-2020
AMOY STREET FOOD CENTRE,01-15,5.65,COOKED FOOD,3802,Oct-2022
AMOY STREET FOOD CENTRE,01-15,5.65,COOKED FOOD,4999,May-2024
AMOY STREET FOOD CENTRE,01-19,5.65,COOKED FOOD,4228,Sep-2021
AMOY STREET FOOD CENTRE,01-19,5.65,COOKED FOOD,5688,Feb-2024
