Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Bottom Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Bottom Sample Depth (ft),Top Salinity  (psu),Bottom Salinity  (psu),Top Conductivity (S/m),Bottom Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)","CTD (conductivity, temperature, depth profiler) Bottom Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Percentage O2 Saturation Bottom sample,Light Trans (% transparency) Top Sample,Light Trans (% transparency) Bottom Sample,Top Sigma-T (kg/m3),Bottom Sigma-T (kg/m3),Top Fluorometer (mg/m3),Bottom Fluorometer mg/m3,"CTD (conductivity, temperature, depth profiler) PH Top Sample","CTD (conductivity, temperature, depth profiler) PH Bottom Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Bottom Sample Par uE/S (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Winkler Method Bottom Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Bottom PH,Top Total Coliform Cells/100 mL,Top Bottom Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Fecal Coliform Bottom Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Bottom Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Enterococcus Bottom Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Bottom Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Bottom Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Bottom Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Bottom Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Bottom Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Bottom Silica (mg/L),Total Phosphorus(mg/L),Bottom Total Phosphorus (mg/L),Top Total Suspended Solid (mg/L),Bottom Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Bottom Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),Chlorophyll Bottom Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Bottom Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Bottom Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Bottom Depth  YSI (ft),Top Sample Salinity YSI (psu),Bottom Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Bottom Sample Temperature YSI (ºC),Top Bacteria # per C.C. 1909,Bottom Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Bottom Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Bottom Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Bottom PCB plate Count (Thous/mL) ,Top Coliform (Log No/mL),Bottom Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood BOD Bottom Sample(mg/L),Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Bottom Turbidity YSI (Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
NC0,,02/26/2014,10:45 AM,Dry,2.51,2.46,15,3,12,21.66,22.01,2.02,2.04,8.42,7.84,71.54,66.7,,,17.28,17.56,65.4767,19.6969,,,,,,,,weak,,3,S,1,12.27,9.87,3.5,7.46,7.5,,,,,56,56,E,E,20,20,0.374,,0.718,,0.049,,1.7,,1.55,,0.183,,11,9,29.9,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,Light snow,-73.931556,40.714961,Permanent
NC0,,10/04/2011,10:19 AM,Wet,20.17,21.56,16,3,13,16.51,19.02,2.44,2.86,0.29,0.11,3.53,1.45,65.25,75.71,10.68,12.24,39.1766,36.9809,8.06,7.98,1883.7,135.79,0.71,-236.897,-212.228,0.1,S,4,N,1,0,0,3,6.83,6.8,,,,,"7,600",24000,,,1040,1100,0.036,,1.25,,0.267,,2.15,,3.94,,0.353,,10,12,4.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,12/20/2006,10:49 AM,Dry,8.28,8.68,26,5,24,21.45,22.2,2.34,2.44,8.81,9.49,86.04,94.05,,,16.62,17.16,,,,,,,,,,0.5,W,1,W,1,9.03,8.85,6,7.53,7.62,,,,,96,144,,,5,5,0.479,,0.636,,0.12,,0.986,,2.586,,0.154,,7,4,8.4,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC1,,06/05/2012,10:40 AM,Dry,18.92,19.17,25,3,25,20.36,22.64,2.87,3.18,5.09,2.68,61.8,33.11,,,13.89,15.56,94.2448,6.3612,,,,,,,,0.2,S,8,N,1,11.58,4.38,2,7.94,7.17,,,,,2120,485,E,E,60,44,0.22,,0.071,,0.101,,2.214,,2.17,,0.408,,17,3,132.6,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,bottom samples taken with kemmerer max depth 50ft (rope 60 ft),-73.927040,40.724545,Permanent
NC2,,12/20/2006,10:38 AM,Dry,8.01,8.76,20,5,18,20.41,21.85,2.22,2.41,8.75,8.78,84.38,86.99,,,15.84,16.87,,,,,,,,,,0.1,W,4,W,1,8.7,8.56,4,7.5,7.53,,,,,20,40,,,15,2,0.493,,0.64,,0.08,,1.146,,3.058,,0.155,,5.25,8.75,23.5,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC1,,12/27/2012,10:17 AM,Wet,6.65,6.97,24,3,24,14.34,20.82,1.55,2.2,3.46,6.07,31.11,57.21,41.56,78.97,11.22,16.27,4.0023,3.876,,,233.38,130.55,0.13,76.586,79.642,0.7,SE,12,NW,1,4.88,5.33,2,7.09,7.19,,,,,940,390,,E,430,360,0.307,,1.11,,0.157,,2.33,,3.14,,0.304,,7,4,1.3,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC0,,10/03/2007,10:27 AM,Dry,21.7,21.9,15,,,23,24.2,,,,,,,,,,,,,,,,,,,,0.1,W,3,SW,1,2.06,1.13,4.5,7.05,7.06,,,,,520,20,,,148,16,0.294,,0.838,,0.215,,1.43,,3.76,,0.307,,12,13,2.73,,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,06/30/2004,11:35 AM,Dry,20.61,18.95,24,5,21,19.6,22.01,2.88,3.09,,,69.13,29.49,,,12.91,15.13,,,,,,,,,,0.5,NW,0,0,1,4.79,4.09,2.5,6.94,6.99,,,,,789,123,,,29,59,0.223,,0.444,,,,1.28,,1.37,,0.212,,1.8,3,15.48,,20.5,,,,,5.52,2.4,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC0,,07/28/2004,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC1,,08/13/2014,10:25 AM,Wet,23.27,23.53,22,3,18,21.88,23.32,3.36,3.58,3.39,3.38,45.08,45.49,66.02,70.71,13.94,14.95,8.2757,4.8112,,,1488.3,486.87,1.22,193.017,194.632,hwslk,,4,NNW,1,4.33,3.72,2,7.11,7.16,,,,,"31,000",39000,,,5200,3900,0.246,,0.327,,0.186,,1.011,,3.1,3.007,0.319,,25,25,29.3,,,,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,Blackish tint to water.,-73.927040,40.724545,Permanent
NC2,,09/20/2007,10:50 AM,Dry,22,22,19,,,22.9,23.8,,,,,,,,,,,,,,,,,,,,SLK,,2,N,1,8.26,3.31,3,7.47,7.23,,,,,80,24,,,4,30,0.294,,0.426,,0.139,,1.54,,2.49,,0.268,,5.5,9.5,57.66,,,,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC0,,06/25/2014,9:30 AM,Dry,21.88,21.91,16,3,11,20.11,20.09,3.03,3.03,5.2,5.31,66.65,68.08,75.94,76.73,12.98,12.95,4.2491,5.0651,,,551.8,926.28,57.62,149.015,146.147,weak,N,calm,,1,5.58,5.52,4.5,7.22,7.24,,,,,310,230,E,E,20,16,0.186,,0.879,,0.23,,1.525,,2.93,2.938,0.356,,13,14,9.2,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC0,,08/19/2015,9:19 AM,Dry,25.28,25.11,15,3,12,23.17,23.3,3.69,3.69,4.58,4.33,63.55,59.97,67.21,72.15,14.35,14.49,11.2654,10.3298,,,,1531,36.63,417.021,434.174,0.2,W,3,S,1,4.91,4.77,3,7.09,7.12,,,,,193,201,E,E,24,20,0.19,,0.593,,0.24,,0.982,,3.3,3.321,0.38,,6,15,13,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,02/05/2013,12:03 PM,Wet,2.9,3.3,21,3,17,20.71,22.06,1.96,2.1,,,,,76.08,78.52,16.5,17.55,5.7788,6.7948,,,,322.75,9.24,93.878,76.237,lw slk,,4,NE,1,9.32,9.59,4.5,7.57,7.64,,,,,81,45,E,E,100,40,0.549,,0.514,,0.12,,0.703,,2.64,,0.156,,9,8,1.7,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC2,,06/24/2015,9:41 AM,Wet,22.89,21.66,14,3,12,20.09,21.23,3.09,3.16,4.74,2.88,61.93,36.98,56.59,72.34,12.7,13.88,11.419,5.8447,,,,3629.7,100.13,252.325,251.17,,,4,NW,1,5.94,4.75,2,7.33,7.24,,,,,"4,300",4500,,,960,360,0.217,,0.474,,0.112,,1.194,,1.15,1.168,0.291,,16,17,19.3,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC3,,07/02/2003,11:08 AM,Dry,20.2,19.38,26,4,24,23.22,24.07,3.33,3.38,,,88.69,86.17,,,15.75,16.6,,,,,,,,,,,SLACK,6,E,1,9.55,5.12,2.5,7.77,7.24,,,,,,,,,,,0.207,,0.215,,0.054,,1.2,,0.82,,0.2,,,,,,16.6,,,3.81,,6.99,6.87,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC1,,08/17/2005,10:30 AM,Dry,26.41,24.78,12,3,12,12.2,22.61,2.1,3.57,,,1.47,1.28,55.77,19.21,5.81,14.07,14.47,2.91,8.16,8.13,1819.1,80.44,0.17,-239.86,-273.86,,,7,NW,1,0,0,2,6.96,6.99,,,,,4000,4000,,,4000,3360,0.016,,2.43,,0.45,,5.5,,3.03,,0.63,,7.25,35,21.84,,,,,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC3,,09/02/2014,10:08 AM,Wet,24.53,24.14,23,3,19,22.27,22.96,3.5,3.57,4.81,3.19,65.65,43.33,64.16,79.96,13.89,14.51,21.1602,4.6298,,,1664.5,2271.3,5.47,120.054,109.914,0.1,E,3,W,1,4.9,3.7,3,7.23,7.24,,,,,"13,000",8200,E,E,80,130,0.329,,0.139,,0.173,,0.644,,2.37,2.557,0.276,,18,32,48.4,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC1,,06/23/2004,11:23 AM,Wet,20.39,19.69,24,4,21,18.98,20.29,2.78,2.91,,,27.15,13.95,,,12.5,13.66,,,,,,,,,,0.2,E,0,0,1,1.24,1.2,3,6.82,6.92,,,,,4000,4000,,,2380,420,0.218,,0.675,,0.162,,1.76,,1.86,,0.318,,6,44.4,25.56,,26.1,,,3.53,,2.19,1.13,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC0,,08/13/2014,10:13 AM,Wet,23.02,23.53,17,3,13,19.92,23.11,3.07,3.55,3.32,2.04,43.5,27.47,54.83,76.22,12.53,14.8,8.4853,3.734,,,632.75,384.9,6.07,292.45,301.94,hwslk,,CALM,,1,2.55,2.71,3,7.02,7.08,,,,,"13,450",7500,,,4700,3600,0.191,,0.463,,0.237,,1.247,,3.319,3.269,0.411,,19,21,22.6,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,Blackish tint to water.,-73.931556,40.714961,Permanent
NC2,,06/18/2003,11:30 AM,Wet,17.88,16.9,18,4,19,20.1,21.8,2.78,2.92,,,120.56,121.93,,,13.93,15.43,,,,,,,,,,,SLACK,6,S,1,10.1,5.9,1.5,8.03,7.48,,,,,800,800,,,2000,2000,0.274,,1.01,,0.024,,2.02,,0.56,,0.28,,9.6,7.4,4.74,,,,,6.51,,10.13,10.34,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC0,,01/13/2010,10:03 AM,Dry,0.2,0.31,17,3,16,,,,,,,,,79.1,66.5,,,31.49,31.66,8.73,8.55,918,34,0,136.1,154.6,weak,E,5,W,1,10.11,9.92,6,7.28,7.29,,,E,E,20,12,E,E,28,28,0.581,,0.645,,0.061,,2.03,,4.12,,0.156,,7.6,4,9.6,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC1,,08/10/2016,9:24 AM,Dry,25.33,25.30,18.0,3,15,23.68,23.81,3.8,3.8,4.96,4.15,69.1,57.8,58.5,64.3,14.72,14.82,27.36,20.51,7.32,7.23,,,,223.55,223.28,0.1,N,8.0,S,1,4.99,4.63,2.5,7.32,7.33,,,,,330,370,E,E,16,20,0.197,,0.339,,0.185,,0.991,,1.758,1.754,0.332,,12,10,39.90,,,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,Aeration on,-73.927040,40.724545,Permanent
NC1,,09/24/2014,9:25 AM,Dry,20.78,21.05,21,3,18,22.61,23.04,3.29,3.37,4.78,3.49,60.99,44.83,60.04,75.36,15.15,15.4,19.6109,11.2807,,,1140.9,2762.9,7.99,81.865,79.479,weak,S,7,E,1,4.39,4.38,3,7.31,7.33,,,,,36,47,E,E,30,28,0.251,,0.23,,0.219,,0.787,,3.08,3.17,0.268,,28,21,26.6,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.927040,40.724545,Permanent
NC2,,03/09/2005,10:50 AM,Wet,,,16,,,,,,,,,,,,,,,,,,,,,,,,0.6,SE,18,NW,1,9.16,8.35,1.5,7.23,7.24,,,,,2,35,,,12,92,,,,,,,,,,,,,,,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC3,,07/13/2005,11:25 AM,Wet,23.89,22.68,22,4,23,8.89,21.83,1.5,3.32,,,64.48,41.81,100.66,61.18,4.02,14.07,3.06,2.29,8.07,8.16,316.45,9.14,0.07,280.17,224.3,0.1,SE,0,,1,3.65,3.6,1.5,7.12,7.14,,,,,5,15,,,5,22,0.206,,3.87,,0.524,,3,,2.23,,1.01,,51,20.75,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC3,,10/01/2015,10:14 AM,Wet,21.64,21.67,25,3,22,23.93,24.96,3.53,3.66,3.4,4.46,44.37,58.55,61.34,59.45,15.93,16.69,2.3334,1.5246,,,,805.09,0.33,180.201,174.523,WEAK,E,10,N,1,4.33,3.8,2.5,7.34,7.37,,,,,"4,300",4900,,,560,605,0.5,,0.37,,0.166,,0.557,,3.247,3.247,0.195,,33,29,2.89,,,,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
NC3,,01/07/2015,10:24 AM,Dry,3.79,4.53,25,3,24,20.7,22.33,2.01,2.2,4.42,4.82,38.57,43.3,73.86,65.7,16.44,17.68,0.6607,1.299,,,1503.5,1081,1.16,111.528,112.197,weak,E,10,W,1,9.64,9.74,3,7.51,7.72,,,,,180,184,E,E,52,64,0.366,,0.312,,0.101,,0.617,,2.794,2.759,0.123,,9,8,1.2,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,Windy.,-73.946167,40.737167,Permanent
NC2,,04/09/2008,10:34 AM,Dry,,,18,,,,,,,,,,,,,,,,,,,,,,,,WEAK,W,CALM,,1,9.25,8.92,4,7.47,7.49,,,,,20,20,,,32,28,0.364,,0.58,,0.095,,1.01,,1.756,,0.172,,6,11,4.9,,,,,3.1,,,,,,18.8,19.3,9,9.4,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC2,,10/03/2007,10:49 AM,Dry,21.7,21.6,18,,,23.3,23.8,,,,,,,,,,,,,,,,,,,,0.5,W,1,SW,1,5.32,4.15,3,7.27,7.26,,,,,24,24,,,16,44,0.454,,0.534,,0.174,,1.36,,3.57,,0.274,,7.5,8.5,4.8,,,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.935500,40.728833,Permanent
NC0,,01/12/2005,10:22 AM,Wet,,,19,,,,,,,,,,,,,,,,,,,,,,,,0.2,SW,5,NE,1,2.17,2.99,2,7.12,7.07,,,,,450,290,,,415,176,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.931556,40.714961,Permanent
NC3,,08/19/2015,9:51 AM,Dry,25.34,24.66,23,4,21,23.88,25,3.79,3.9,7.49,3.91,104.51,54.22,59.37,68.57,14.86,15.91,24.2835,3.2394,,,,856.7,3.16,250.786,246.53,0.5,W,6,S,1,6.81,5.49,1.5,7.5,7.46,,,,,228,148,E,E,4,20,0.328,,0.151,,0.139,,0.45,,2.313,2.199,0.24,,14,20,58.8,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.946167,40.737167,Permanent
