licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
REPUBLIC HOTELS & RESORTS LIMITED,W99288X000,392 HAVELOCK ROAD (FISH/MEAT) GRAND COPTHORNE WATERFRONT HOTEL (BASEMENT 1) SINGAPORE 169663,A,na,na,na
REPUBLIC HOTELS & RESORTS LIMITED,W99281K000,392 HAVELOCK ROAD (BANQUET KITCHEN) GRAND COPTHORNE WATERFRONT HOTEL (LEVEL 2) SINGAPORE 169663,A,na,na,na
M.K. RAMA PTE LTD,W96344L000,37 NORRIS ROAD SINGAPORE 208279,A,na,na,na
GRAND PARK PROPERTY PTE. LTD.,W96230L000,10 COLEMAN STREET (2ND STOREY) GRAND PARK CITY HALL SINGAPORE 179809,A,na,na,na
MILLENIA PRIVATE LIMITED,W96214L000,2 TEMASEK BOULEVARD #B1-00 CONRAD CENTENNIAL S'PORE SINGAPORE 038982,A,na,na,na
MILLENIA PRIVATE LIMITED,W96212P000,2 TEMASEK BOULEVARD (MAIN KITCHEN) #02-00 CONRAD CENTENNIAL S'PORE SINGAPORE 038982,A,na,na,na
BCH HOTEL INVESTMENT PTE LTD,W95267N000,80 MIDDLE ROAD HOTEL INTER-CONTINENTAL BASEMENT 1 (MAIN KITCHEN) SINGAPORE 188966,A,na,na,na
RCMS PROPERTIES PTE LTD,W95169X000,7 RAFFLES AVENUE (BANQUET FINISHING KITCHEN) RITZ CARLTON MILLENIA SINGAPORE (2ND FLR) SINGAPORE 039799,A,na,na,na
RCMS PROPERTIES PTE LTD,W95163J000,7 RAFFLES AVENUE (PRODUCTION KITCHEN) RITZ CARLTON MILLENIA SINGAPORE (1ST LEVEL) SINGAPORE 039799,A,na,na,na
SUNTEC SINGAPORE INTERNATIONAL CONVENTION & EXHIBITION SERVICES PTE. LTD.,W95017C000,1 RAFFLES BOULEVARD #06-00 SINGAPORE INT'L CONVENTION & EXHIBITION CENTER SINGAPORE 039593,A,na,na,na
AMARA HOTEL PROPERTIES PTE LTD?,W93088L000,165 TANJONG PAGAR ROAD #03-00 AMARA HOTEL SINGAPORE 088539,A,na,na,na
RC HOTELS (PTE.) LTD,W92112K000,2 STAMFORD ROAD WESTIN PLAZA AND STAMFORD RAFFLES KITCHEN LEVEL 4 SINGAPORE 178882,A,na,na,na
RC HOTELS (PTE.) LTD,W92111L000,2 STAMFORD ROAD WESTIN PLAZA AND STAMFORD RC HOTEL LEVEL 4 SINGAPORE 178882,A,na,na,na
RC HOTELS (PTE.) LTD,W92110N000,2 STAMFORD ROAD RAFFLES THE PLAZA - (PLAZA MEETING ROOM) SINGAPORE 178882,A,na,na,na
BEACH ROAD HOTEL (1886) LTD.,W91079J000,1/3 BEACH ROAD #B1-00 RAFFLES HOTEL SINGAPORE 189673,A,na,na,na
YIP KWOK HOONG,W90016B000,60 SENG POH LANE #01-07 SINGAPORE 160060,B,na,na,na
HOTEL MARINA CITY PRIVATE LIMITED?,W86135X000,7 RAFFLES BOULEVARD #01-00 PAN PACIFIC HOTEL SINGAPORE 039594,A,na,na,na
GOODWOOD PARK HOTEL LIMITED,W80146C000,22 SCOTTS ROAD SINGAPORE 228221,A,na,na,na
OVERSEAS UNION ENTERPRISE LTD,W80086E000,333 ORCHARD ROAD MANDARIN HOTEL (4TH STOREY) SINGAPORE 238867,A,na,na,na
HOTEL PROPERTIES LIMITED,W70042C000,581 ORCHARD ROAD #03 HILTON INTERNATIONAL SINGAPORE SINGAPORE 238883,A,na,na,na
HATIJAH BT SAHAK,W59005V000,416 TELOK BLANGAH ROAD SINGAPORE 098845,B,na,na,na
REPUBLIC HOTELS & RESORTS LIMITED,W03333C000,392 HAVELOCK ROAD (LEVEL 2) GRAND COPTHORNE WATERFRONT HOTEL SINGAPORE 169663,A,na,na,na
YIP KWOK HOONG,W03187K000,67 SENG POH LANE #01-16 SINGAPORE 160067,B,na,na,na
LIM ENG PENG @ TAY SUAN ENG,W03184P000,36 SIN MING DRIVE #01-371 (PART OF) SINGAPORE 575710,B,na,na,na
PRECIOUS TREASURE PTE LTD,W00381L000,1 FULLERTON SQUARE THE FULLERTON HOTEL (MUSLIM KITCHEN) SINGAPORE 049178,A,na,na,na
PRECIOUS TREASURE PTE LTD,W00356N000,1 FULLERTON SQUARE THE FULLERTON HOTEL (CENTRAL KITCHEN) SINGAPORE 049178,A,na,na,na
EASTWEST CURRY HOUSE PTE. LTD.,SW15E54X000,143 PANDAN LOOP UNIT E (part of) SINGAPORE 128454,na,na,na,na
FRIENDS CATERING SERVICES PTE. LTD.,SW15925N000,20 BUKIT BATOK CRESCENT #13-01 ENTERPRISE CENTRE SINGAPORE 658080,A,na,na,na
MOON RIVER INTERNATIONAL PTE. LTD.,SW15534N000,4008 DEPOT LANE #01-92 SINGAPORE 109762,B,na,na,na
PURPLE SAGE GROUP PTE. LTD.,SW15530A000,157 PANDAN LOOP SINGAPORE 128355,B,na,na,na
CAFE GALILEE PTE. LTD.,SW15043V000,20 CHIN BEE ROAD #01-03 SINGAPORE 619828,B,4,na,na
LIM KWEE HIN,SW14862X000,15 JALAN TEPONG #03-19 JURONG FOOD HUB SINGAPORE 619336,B,0,na,na
786 BANGALIANA PTE. LTD.,SW14795E000,177 PANDAN LOOP UNIT 3 (PART OF) SINGAPORE 128460,B,na,2016-02-21,2016-03-05
933 PTE. LTD.,SW14740N000,15 JALAN TEPONG #02-02 JURONG FOOD HUB SINGAPORE 619336,B,na,na,na
RASEL CATERING SINGAPORE PTE. LTD.,SW14722X000,253 PANDAN LOOP SINGAPORE 128432,A,6,na,na
TIM'S FINE CATERING SERVICES PTE. LTD.,SW14311C000,143 PANDAN LOOP (PART OF) UNIT A -KITCHEN 2 SINGAPORE 128454,A,na,na,na
ELSIE'S KITCHEN CATERING SERVICES PTE. LTD,SW14145X000,21 SECOND CHIN BEE ROAD (PART OF) SINGAPORE 618780,A,na,na,na
CATERING SOLUTIONS PTE. LTD.,SW14015N000,80 TUAS SOUTH BOULEVARD ANNEX BLOCK 4 (1ST STOREY) DORMITORY COMPOUND SINGAPORE 637051,A,na,na,na
THREE BOND JING HUA PTE. LTD.,SW13W58E000,20 BUKIT BATOK CRESCENT #11-24 ENTERPRISE CENTRE (UNIT A) -PART OF SINGAPORE 658080,B,na,na,na
THOMSON CATERING PTE. LTD.,SW13T95N000,15 JALAN TEPONG #06-11 JURONG FOOD HUB SINGAPORE 619336,A,na,na,na
SHEREEN'S KITCHEN (SK) PTE. LTD,SW13T41V000,20 BUKIT BATOK CRESCENT #11-24 (PART OF) UNIT D ENTERPRISE CENTRE SINGAPORE 658080,B,na,na,na
UFS FOOD INDUSTRIES PTE. LTD.,SW13143J000,177 PANDAN LOOP (PART OF) SINGAPORE 128460,B,na,na,na
STERLING TRENDS & CONCEPTS PTE. LTD.,SW12O40P000,230 PANDAN LOOP #01-03 SINGAPORE 128415,B,na,na,na
CITYVIEW PLACE HOLDINGS PTE LTD,SW12K26N000,21 OCEAN WAY W SINGAPORE SENTOSA COVE SECOND STOREY (BALLROOM) SINGAPORE 098374,na,na,na,na
ERRAWATY BINTE WAHID,SW12F51V000,145 PANDAN LOOP UNIT D PART OF SINGAPORE 128455,A,na,na,na
MAA TRADING PTE LTD,SW12F50A000,145 PANDAN LOOP (PART OF) UNIT C SINGAPORE 128455,B,na,na,na
QILE PTE. LTD.,SW11485J000,10 TUAS BAY WALK #01-08 SINGAPORE 637780,B,4,na,na
