licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
YEO ENG POH,ZRF0132001,ZION RIVERSIDE FOOD CENTRE Stall No 01-32,A,na,na,na
GOH LUM ENG,ZRF0131001,ZION RIVERSIDE FOOD CENTRE Stall No 01-31,A,na,na,na
THAM SENG HUAT,ZRF0130001,ZION RIVERSIDE FOOD CENTRE Stall No 01-30,A,na,na,na
RAHMAH BINTI JAPPAR,ZRF0129003,ZION RIVERSIDE FOOD CENTRE Stall No 01-29,B,na,na,na
AIK WEE CHEOK,ZRF0128002,ZION RIVERSIDE FOOD CENTRE Stall No 01-28,B,na,na,na
GOH MIAH LIANG,ZRF0127001,ZION RIVERSIDE FOOD CENTRE Stall No 01-27,A,na,na,na
GOH LENG HUA,ZRF0126002,ZION RIVERSIDE FOOD CENTRE Stall No 01-26,A,na,na,na
AIK WEE CHEOK,ZRF0125002,ZION RIVERSIDE FOOD CENTRE Stall No 01-25,B,na,na,na
YEW GUAT KEOK,ZRF0124001,ZION RIVERSIDE FOOD CENTRE Stall No 01-24,B,na,na,na
KENLEE TAN SOON WAH,ZRF0123002,ZION RIVERSIDE FOOD CENTRE Stall No 01-23,A,na,na,na
KOH CHIN KEE,ZRF0122002,ZION RIVERSIDE FOOD CENTRE Stall No 01-22,A,na,na,na
TAN CHEN POK @TAN ANGAU,ZRF0121001,ZION RIVERSIDE FOOD CENTRE Stall No 01-21,A,na,na,na
CHUA TUAN KIM,ZRF0120002,ZION RIVERSIDE FOOD CENTRE Stall No 01-20,na,na,na,na
LIM HUI KHENG,ZRF0119002,ZION RIVERSIDE FOOD CENTRE Stall No 01-19,A,na,na,na
HO BOON TENG,ZRF0118002,ZION RIVERSIDE FOOD CENTRE Stall No 01-18,B,na,na,na
HO KIAN TAT,ZRF0117002,ZION RIVERSIDE FOOD CENTRE Stall No 01-17,A,na,na,na
TAN TENG HOH,ZRF0116001,ZION RIVERSIDE FOOD CENTRE Stall No 01-16,A,na,na,na
NG SIANG LAN CHARLOTTE,ZRF0115001,ZION RIVERSIDE FOOD CENTRE Stall No 01-15,B,na,na,na
ONG TAT SHEN,ZRF0114002,ZION RIVERSIDE FOOD CENTRE Stall No 01-14,A,na,na,na
LEE KIAN HUAT,ZRF0113002,ZION RIVERSIDE FOOD CENTRE Stall No 01-13,A,na,na,na
LIUM DAU LOOK @LIM DAU LOOK,ZRF0112001,ZION RIVERSIDE FOOD CENTRE Stall No 01-12,B,na,na,na
TAN BOON POH,ZRF0111001,ZION RIVERSIDE FOOD CENTRE Stall No 01-11,A,na,na,na
TAN GIM GUAN,ZRF0110001,ZION RIVERSIDE FOOD CENTRE Stall No 01-10,A,na,na,na
CHAN HAN MENG,ZRF0109002,ZION RIVERSIDE FOOD CENTRE Stall No 01-09,B,na,na,na
LIM HEE WHA,ZRF0108002,ZION RIVERSIDE FOOD CENTRE Stall No 01-08,A,na,na,na
TAN PETER,ZRF0107001,ZION RIVERSIDE FOOD CENTRE Stall No 01-07,B,na,na,na
KHNG LEE PO ALICE @CHUNG YOKE LAN,ZRF0106002,ZION RIVERSIDE FOOD CENTRE Stall No 01-06,A,na,na,na
THAIW MARN KOK,ZRF0105002,ZION RIVERSIDE FOOD CENTRE Stall No 01-05,A,na,na,na
TEO AIK HUA,ZRF0104002,ZION RIVERSIDE FOOD CENTRE Stall No 01-04,B,na,na,na
TAY CHENG CHEOW,ZRF0103001,ZION RIVERSIDE FOOD CENTRE Stall No 01-03,A,na,na,na
CHAN HAN MENG,ZRF0102002,ZION RIVERSIDE FOOD CENTRE Stall No 01-02,B,na,na,na
SITI ROYIAH BINTE KASSAN,ZRF0101002,ZION RIVERSIDE FOOD CENTRE Stall No 01-01,B,na,na,na
WONG KIM BOY,YR201180004,YISHUN RING RD BLK 105 Stall No 01-180,B,na,na,na
TAY CHIN KOON,YR201179002,YISHUN RING RD BLK 105 Stall No 01-179,B,na,na,na
LOH KONG WANG,YR201178002,YISHUN RING RD BLK 105 Stall No 01-178,B,na,na,na
KANG KIANG LIANG,YR201177002,YISHUN RING RD BLK 105 Stall No 01-177,B,na,na,na
PHUA AI NGO,YR201176002,YISHUN RING RD BLK 105 Stall No 01-176,B,na,na,na
KHOR ENG LEONG,YR201175002,YISHUN RING RD BLK 105 Stall No 01-175,B,na,na,na
TAY GEOK MOI,YR201174004,YISHUN RING RD BLK 105 Stall No 01-174,B,na,na,na
ROHAYA BTE AHMAD,YR201173005,YISHUN RING RD BLK 105 Stall No 01-173,B,na,na,na
FATHIMA BEEVI W/O MOHAMED ISMAIL,YR201172004,YISHUN RING RD BLK 105 Stall No 01-172,B,na,na,na
ALI BIN JUSOH,YR201171002,YISHUN RING RD BLK 105 Stall No 01-171,B,na,na,na
MOHAMED ISMAIL BIN ABDUL GHAFFOR,YR201170002,YISHUN RING RD BLK 105 Stall No 01-170,A,na,na,na
SHAHUL HAMEED S/O ROWTHER ABDUL MOHAMMED,YR201169002,YISHUN RING RD BLK 105 Stall No 01-169,A,na,na,na
ANDREW NG CHENG HOWE,YR201168002,YISHUN RING RD BLK 105 Stall No 01-168,A,na,na,na
KOH CHAY KHENG,YR201167002,YISHUN RING RD BLK 105 Stall No 01-167,A,na,na,na
NG KOK TAI,YR201166003,YISHUN RING RD BLK 105 Stall No 01-166,B,na,na,na
YONG KWOK HONG (XIONG GUOHONG),YR201165005,YISHUN RING RD BLK 105 Stall No 01-165,na,na,na,na
LOW YIN KOK,YR201164003,YISHUN RING RD BLK 105 Stall No 01-164,A,na,na,na
LOW CHOON HUAT,YR201163002,YISHUN RING RD BLK 105 Stall No 01-163,B,na,na,na
TAY GEOK MOI,YR201162004,YISHUN RING RD BLK 105 Stall No 01-162,A,na,na,na
SANDY YONG LEEN (SANDY YANG LIN),YR201161004,YISHUN RING RD BLK 105 Stall No 01-161,A,na,na,na
TEA AH NIAA,YR201160002,YISHUN RING RD BLK 105 Stall No 01-160,B,na,na,na
ONG SOO HOON,YR201159004,YISHUN RING RD BLK 105 Stall No 01-159,B,na,na,na
SEAH BOK SOON,YR201158003,YISHUN RING RD BLK 105 Stall No 01-158,B,na,na,na
AW KIAN LEE,YR201157006,YISHUN RING RD BLK 105 Stall No 01-157,B,na,na,na
LIM HWEE GIAK,YR201156002,YISHUN RING RD BLK 105 Stall No 01-156,B,na,na,na
LEE KEE KEE,YR201155002,YISHUN RING RD BLK 105 Stall No 01-155,B,na,na,na
