"","lon","lat","type","loctype","address","north","south","east","west"
"1",103.8141876,1.3242264,"establishment","rooftop","2 adam rd, singapore 289877",1.3255753802915,1.3228774197085,103.815536580291,103.812838619709
"2",103.8467008,1.2794012,"establishment","rooftop","7 maxwell rd, singapore 069111",1.2807501802915,1.2780522197085,103.848049780292,103.845351819708
"3",103.955447,1.32035,"establishment","rooftop","1 bedok rd, singapore 469572",1.3216989802915,1.3190010197085,103.956795980292,103.954098019708
"4",103.8273668,1.2888084,"establishment","rooftop","38a beo cres, singapore 169982",1.2901573802915,1.2874594197085,103.828715780292,103.826017819708
"5",103.8567494,1.3073539,"establishment","rooftop","166 jln besar, singapore 208877",1.3087028802915,1.3060049197085,103.858098380291,103.855400419709
"6",103.776049,1.3394069,"establishment","rooftop","51 upper bukit timah rd, singapore 588215",1.3407558802915,1.3380579197085,103.777397980291,103.774700019709
"7",103.8666004,1.3642285,"establishment","rooftop","20 kensington park rd, singapore 557269",1.3655774802915,1.3628795197085,103.867949380292,103.865251419708
"8",103.800383,1.3069482,"establishment","rooftop","31 commonwealth cres, singapore 149644",1.3082971802915,1.3055992197085,103.801731980292,103.799034019709
"9",103.9018286,1.3094266,"establishment","rooftop","271 onan rd, singapore 424768",1.3107755802915,1.3080776197085,103.903177580291,103.900479619709
"10",103.9349594,1.3069299,"establishment","rooftop","1220 ecp, singapore 468960",1.3082788802915,1.3055809197085,103.936308380292,103.933610419709
"11",103.8982767,1.3167284,"establishment","rooftop","1 geylang serai, singapore 402001",1.3180773802915,1.3153794197085,103.899625680292,103.896927719709
"12",103.8639264,1.3033328,"establishment","rooftop","505 beach rd, singapore 199583",1.3046817802915,1.3019838197085,103.865275380291,103.862577419709
"13",103.7950362,1.3112134,"establishment","rooftop","1 lor mambong, singapore 277700",1.3125623802915,1.3098644197085,103.796385180291,103.793687219709
"14",103.8841373,1.3074315,"establishment","rooftop","17 old airport rd, singapore 397972",1.3087804802915,1.3060825197085,103.885486280292,103.882788319708
"15",103.8486752,1.2817886,"establishment","rooftop","5 cross st, singapore 048418",1.2831375802915,1.2804396197085,103.850024180291,103.847326219709
"16",103.844767,1.2803361,"establishment","rooftop","1 kadayanallur st, singapore 069184",1.2816850802915,1.2789871197085,103.846115980292,103.843418019708
"17",-71.194005,42.3349884,"establishment","geometric_center","11 homer street, enter on, furber ln, newton centre, ma 02459, usa",42.3363373802915,42.3336394197085,-71.1926560197085,-71.1953539802915
"18",103.8638889,1.3058333,"establishment","rooftop","861 north bridge rd, singapore 198783",1.3071822802915,1.3044843197085,103.865237880292,103.862539919708
"19",103.7912521,1.275969,"establishment","rooftop","121 pasir panjang rd, singapore 118543",1.2773179802915,1.2746200197085,103.792601080292,103.789903119708
"20",103.8665724,1.363257,"establishment","rooftop","49a serangoon garden way, singapore 555945",1.3646059802915,1.3619080197085,103.867921380292,103.865223419708
"21",103.8290075,1.3722883,"establishment","rooftop","590 upper thomson rd, singapore 574419",1.3736372802915,1.3709393197085,103.830356480291,103.827658519709
"22",103.7215616,1.334683,"establishment","rooftop","3 yung sheng rd, singapore 618499",1.3360319802915,1.3333340197085,103.722910580291,103.720212619709
"23",103.7980575,1.3007306,"establishment","rooftop","48a tanglin halt rd, singapore 148813",1.3020795802915,1.2993816197085,103.799406480291,103.796708519709
"24",103.8325965,1.2849131,"establishment","rooftop","30 seng poh rd, #01-128/129, singapore 168898",1.2862620802915,1.2835641197085,103.833945480292,103.831247519708
"25",103.8313247,1.2924787,"establishment","rooftop","70 zion rd, singapore 247792",1.2938276802915,1.2911297197085,103.832673680292,103.829975719709
"26",103.8081551,1.2869047,"establishment","rooftop","6 jalan bukit merah, singapore 150006",1.2882536802915,1.2855557197085,103.809504080292,103.806806119708
"27",-79.3160708,44.1170373,"bakery","rooftop","18463 on-48, mount albert, on l0g 1m0, canada",44.1183862802915,44.1156883197085,-79.3147218197085,-79.3174197802915
"28",103.8045261,1.286343,"establishment","rooftop","120 bukit merah lane 1, singapore 150123",1.2876919802915,1.2849940197085,103.805875080292,103.803177119708
"29",103.8399828,1.2883777,"street_address","rooftop","1 jln kukoh, singapore",1.2897266802915,1.2870287197085,103.841331780291,103.838633819709
"30",103.8900219,1.3540216,"premise","rooftop","105 hougang ave 1, singapore 530105",1.3554111302915,1.3527131697085,103.891463480292,103.888765519708
"31",103.818672,1.277431,"street_address","rooftop","11 telok blangah cres, singapore 090011",1.2787799802915,1.2760820197085,103.820020980292,103.817323019708
"32",103.8260044,1.2800033,"street_address","rooftop","112 jalan bukit merah, singapore 160112",1.2813522802915,1.2786543197085,103.827353380291,103.824655419709
"33",103.8218978,1.2854816,"premise","rooftop","115 bukit merah view, singapore 151115",1.2864584302915,1.2837604697085,103.823403330291,103.820705369709
"34",103.8869921,1.3206138,"street_address","rooftop","117 aljunied ave 2, singapore 380117",1.3219627802915,1.3192648197085,103.888341080291,103.885643119709
"35",103.8447232,1.338036,"premise","rooftop","127 lor 1 toa payoh, singapore 310127",1.3394560302915,1.3367580697085,103.846080380291,103.843382419709
"36",103.9447527,1.345488,"street_address","rooftop","137 tampines st. 11, singapore 521137",1.3468369802915,1.3441390197085,103.946101680292,103.943403719708
"37",103.8028827,1.2932672,"street_address","rooftop","159 mei chin rd, singapore 140159",1.2946161802915,1.2919182197085,103.804231680291,103.801533719709
"38",103.9355572,1.320547,"street_address","rooftop","16 bedok s rd, singapore 460016",1.3218959802915,1.3191980197085,103.936906180292,103.934208219708
"39",103.8170072,1.2837537,"premise","rooftop","163 bukit merah central, singapore 150163",1.2850150802915,1.2823171197085,103.818322330291,103.815624369709
"40",103.871846,1.314918,"street_address","rooftop","17 upper boon keng rd, singapore 380017",1.3162669802915,1.3135690197085,103.873194980292,103.870497019708
"41",103.7883085,1.3109708,"street_address","rooftop","20 ghim moh rd, singapore 270020",1.3123197802915,1.3096218197085,103.789657480291,103.786959519709
"42",103.93068,1.324569,"street_address","rooftop","208b new upper changi rd, singapore",1.3259179802915,1.3232200197085,103.932028980292,103.929331019708
"43",103.8541184,1.340111,"establishment","rooftop","210 lor 8 toa payoh, singapore 310210",1.3414599802915,1.3387620197085,103.855467380292,103.852769419708
"44",103.9333419,1.3271291,"premise","geometric_center","216 bedok north street 1, singapore 460216",1.3285142302915,1.3258162697085,103.934664080291,103.931966119709
"45",103.8570169,1.3354642,"street_address","rooftop","22 lor 7 toa payoh, singapore 310019",1.3368131802915,1.3341152197085,103.858365880292,103.855667919708
"46",103.839176,1.366795,"street_address","rooftop","226d ang mo kio ave 1, singapore 564226",1.3681439802915,1.3654460197085,103.840524980292,103.837827019708
"47",103.8400579,1.3672414,"premise","rooftop","226h ang mo kio street 22, singapore 568226",1.3685720302915,1.3658740697085,103.841376830291,103.838678869709
"48",103.7376889,1.3436236,"premise","rooftop","254 jurong east st 24, singapore 600254",1.3447809802915,1.3420830197085,103.739141730291,103.736443769709
"49",103.8630249,1.3193373,"premise","rooftop","29 bendemeer rd, singapore 330029",1.3206356802915,1.3179377197085,103.864377030291,103.861679069709
"50",103.8373039,1.3518942,"street_address","rooftop","320 shunfu rd, singapore 570320",1.3532431802915,1.3505452197085,103.838652880292,103.835954919708
"51",103.8483462,1.3642258,"premise","rooftop","341 ang mo kio ave 1, singapore 560341",1.3654151802915,1.3627172197085,103.849577680292,103.846879719708
"52",103.7315889,1.3454614,"premise","rooftop","347 jurong east ave 1, singapore 600347",1.3466899302915,1.3439919697085,103.732772430292,103.730074469708
"53",103.770821,1.314399,"street_address","rooftop","353 clementi ave 2, singapore 120353",1.3157479802915,1.3130500197085,103.772169980291,103.769472019709
"54",103.821985,1.272617,"street_address","rooftop","36 telok blangah rise, singapore 090036",1.2739659802915,1.2712680197085,103.823333980291,103.820636019709
"55",103.742765,1.32087,"street_address","rooftop","37a teban gardens rd, singapore 601037",1.3222189802915,1.3195210197085,103.744113980292,103.741416019708
"56",103.8554121,1.3627194,"premise","rooftop","409 ang mo kio ave 10, singapore 560409",1.3639677802915,1.3612698197085,103.856656430291,103.853958469709
"57",-74.1118147,42.009586,"premise","rooftop","44 holland dr, west hurley, ny 12491, usa",42.0109523802915,42.0082544197085,-74.1104568197085,-74.1131547802915
