,BusStopCode,RoadName,Description,Latitude,Longitude,geometry,area
0,01012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006,POINT (103.8525359165401 1.29684825487647),VICTORIA
1,01013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225,POINT (103.8532247463225 1.29770970610083),VICTORIA
2,01019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507,POINT (103.8530220117251 1.29698951191332),BUGIS
3,01029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.85441422464267,POINT (103.8544142246427 1.2966729849642),BUGIS
4,01039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837407,POINT (103.8554913983741 1.29820784139683),BUGIS
5,01059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457583,POINT (103.8561104045758 1.30075679526626),BUGIS
6,01109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224,POINT (103.8565037299822 1.30358577565355),ROCHOR CANAL
7,01112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814,POINT (103.8552002712581 1.30009212839081),VICTORIA
8,01113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393,POINT (103.8561140106393 1.30117297541547),BUGIS
9,01119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571,POINT (103.8551293407957 1.2996041093804),BUGIS
10,01121,Victoria St,Stamford Pr Sch,1.30393809691048,103.85867999243207,POINT (103.8586799924321 1.30393809691048),ROCHOR CANAL
11,01129,Victoria St,Opp Stamford Pr Sch,1.30350269187301,103.85864530718491,POINT (103.8586453071849 1.30350269187301),KAMPONG GLAM
12,01139,Nth Bridge Rd,Parkview Sq,1.30033057855542,103.85716080665901,POINT (103.857160806659 1.30033057855542),BUGIS
13,01211,Victoria St,Opp Blk 461,1.30551803523268,103.8605449516032,POINT (103.8605449516032 1.30551803523268),CRAWFORD
14,01219,Victoria St,Blk 461,1.30526598535719,103.86072019914616,POINT (103.8607201991462 1.30526598535719),CRAWFORD
15,01229,Nth Bridge Rd,Bef Sultan Mque,1.30337552638813,103.85963089198265,POINT (103.8596308919826 1.30337552638813),KAMPONG GLAM
16,01231,Jln Sultan,Opp Textile Ctr,1.3032499999752,103.8610830559663,POINT (103.8610830559663 1.3032499999752),KAMPONG GLAM
17,01239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134,POINT (103.8616181761113 1.30291236608351),CRAWFORD
18,01311,Kallang Rd,Lavender Stn Exit B,1.3070916463394,103.86219695240973,POINT (103.8621969524097 1.3070916463394),LAVENDER
19,01319,Kallang Rd,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476,POINT (103.8632559612348 1.30757426746418),LAVENDER
20,01329,Nth Bridge Rd,Blk 8,1.30495670239172,103.86363028484124,POINT (103.8636302848412 1.30495670239172),CRAWFORD
21,01339,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441,POINT (103.8642627465441 1.30774601733202),KAMPONG BUGIS
22,01341,Crawford St,Southbank,1.30647555600578,103.86452527798744,POINT (103.8645252779874 1.30647555600578),CRAWFORD
23,01349,Crawford St,Opp Blk 4,1.30568635716829,103.86543994417883,POINT (103.8654399441788 1.30568635716829),KAMPONG BUGIS
24,01411,Beach Rd,Opp St. John HQ,1.30211332865049,103.86295598167331,POINT (103.8629559816733 1.30211332865049),CRAWFORD
25,01419,Beach Rd,St. John HQ,1.3020199999911,103.86326333301203,POINT (103.863263333012 1.3020199999911),NICOLL
26,01421,Beach Rd,Opp Golden Mile Cplx,1.30338444400173,103.86483888898641,POINT (103.8648388889864 1.30338444400173),CRAWFORD
27,01429,Beach Rd,Golden Mile Cplx,1.3032136089394,103.86501584807763,POINT (103.8650158480776 1.3032136089394),NICOLL
28,01511,Beach Rd,Opp The Gateway,1.29919826103807,103.85864518302436,POINT (103.8586451830244 1.29919826103807),BUGIS
29,01519,Beach Rd,The Gateway,1.29907492488417,103.8589102973441,POINT (103.8589102973441 1.29907492488417),CITY HALL
30,01521,Beach Rd,Opp Plaza Parkroyal,1.30088304437602,103.86066098182194,POINT (103.8606609818219 1.30088304437602),KAMPONG GLAM
31,01529,Beach Rd,Plaza Parkroyal,1.30041667676526,103.86044115259938,POINT (103.8604411525994 1.30041667676526),NICOLL
32,01541,Rochor Rd,Bugis Stn Exit D,1.29886465442254,103.85734583628746,POINT (103.8573458362875 1.29886465442254),BUGIS
33,01549,Ophir Rd,Opp Duo Residences,1.30069868861162,103.85873120467069,POINT (103.8587312046707 1.30069868861162),KAMPONG GLAM
34,01559,Ophir Rd,Landmark Village Hotel,1.30168731070562,103.85752923961614,POINT (103.8575292396161 1.30168731070562),KAMPONG GLAM
35,01611,Beach Rd,Aft Raffles Hotel,1.29527259171342,103.85533686181174,POINT (103.8553368618117 1.29527259171342),CITY HALL
36,01619,Beach Rd,Esplanade Stn Exit F,1.29428694178246,103.85503809424233,POINT (103.8550380942423 1.29428694178246),CITY HALL
37,01621,Beach Rd,Opp Shaw Twrs,1.29695888888745,103.85655611109846,POINT (103.8565561110985 1.29695888888745),BUGIS
38,01629,Beach Rd,Shaw Twrs,1.29695972219958,103.85686527780177,POINT (103.8568652778018 1.29695972219958),CITY HALL
39,01631,Middle Rd,Aft Beach Rd,1.29693614589482,103.85580555528077,POINT (103.8558055552808 1.29693614589482),BUGIS
40,01639,Middle Rd,Bef Beach Rd,1.29738750001468,103.85557583297624,POINT (103.8555758329762 1.29738750001468),BUGIS
